,Unnamed: 0,Symbol,Name,Buy,Analyst,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,agora_pred
18,18,AGI,Alamos Gold Inc. Class A Common Shares,1,Buy,,,,-0.02,0.49,6.93,0.68,1.15,,
19,19,AHT,Ashford Hospitality Trust Inc Common Stock,1,Buy,,,2.17,-0.52,-1.93,1.78,0.22,0.53,0.04,
20,20,AI,C3.ai Inc. Class A Common Stock,1,Buy,0.23,0.18,,-0.48,-0.92,10.05,0.43,5.67,0.19,
21,21,AIG,American International Group Inc. New Common Stock,1,Buy,0.17,0.21,1.34,0.09,5.38,76.73,0.92,1.99,0.01,1.0
22,22,AIN,Albany International Corporation Common Stock,1,Buy,,,,,,,,,,
23,23,AIRC,Apartment Income REIT Corp. Common Stock,1,Buy,,,,,,,,,,
24,24,AKR,Acadia Realty Trust Common Stock,1,Buy,,,,,,,,,,
25,25,ALB,Albemarle Corporation Common Stock,1,Buy,,,1.59,0.22,5.39,52.72,0.85,1.79,0.02,
26,26,ALC,Alcon Inc. Ordinary Shares,1,Buy,,,,,,,,,,
27,27,ALL,Allstate Corporation (The) Common Stock,1,Buy,-0.07,0.07,0.87,0.08,12.74,87.67,0.79,3.19,0.02,1.0
28,28,ALLE,Allegion plc Ordinary Shares,1,Buy,0.06,0.05,,,,,,,,
29,29,ALSN,Allison Transmission Holdings Inc. Common Stock,1,Buy,0.1,0.1,1.16,0.16,5.01,6.83,1.06,2.77,0.04,1.0
30,30,ALV,Autoliv Inc. Common Stock,1,Buy,,,,,,,,,,
31,31,AMCR,Amcor plc Ordinary Shares,1,Buy,0.13,0.1,0.46,0.07,0.84,3.1,0.41,8.16,0.03,0.0
32,32,AMK,AssetMark Financial Holdings Inc. Common Stock,1,Buy,,,,,,,,,,
33,33,AMPY,Amplify Energy Corp. Common Stock,1,Buy,,,4.79,-0.42,1.75,-2.3,0.34,0.61,0.09,
34,34,AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,1,Buy,,,1.26,0.0,0.91,2.32,0.69,3.64,0.04,
35,35,AMWL,American Well Corporation Class A Common Stock,1,Buy,,,,-0.79,-0.7,4.84,0.5,6.49,0.07,
36,36,AN,AutoNation Inc. Common Stock,1,Buy,,,1.51,0.05,17.87,35.96,0.87,3.38,0.13,
37,37,AON,Aon plc Class A Ordinary Shares (Ireland),1,Buy,0.03,0.07,0.85,0.18,12.95,19.78,1.03,5.98,0.03,1.0
38,38,AOS,A.O. Smith Corporation Common Stock,1,Buy,0.14,0.1,1.11,0.14,3.29,11.41,0.96,4.67,0.05,1.0
39,39,APTS,Preferred Apartment Communities Inc. Common Stock,1,Buy,,,1.19,0.03,-2.06,26.52,0.51,2.35,0.02,
40,40,AQN,Algonquin Power & Utilities Corp. Common Shares,1,Buy,,,0.2,0.33,0.8,8.08,0.52,9.36,,
41,41,AQUA,Evoqua Water Technologies Corp. Common Stock,1,Buy,,,,,,,,,,
42,42,ARCH,Arch Resources Inc. Class A Common Stock,1,Buy,,,0.95,0.02,30.75,27.09,1.19,7.89,0.26,
43,43,ARGO,Argo Group International Holdings Ltd.,1,Buy,,,,,,,,,,
44,44,ARLO,Arlo Technologies Inc. Common Stock,1,Buy,,,,,,,,,,
45,45,ARMK,Aramark Common Stock,1,Buy,,,1.92,-0.02,1.76,10.53,1.06,5.35,0.04,
46,46,ARNC,Arconic Corporation Common Stock ,1,Buy,,,,-0.07,2.86,14.67,0.99,6.57,0.05,
47,47,AROC,Archrock Inc. Common Stock,1,Buy,,,,,,,,,,
48,48,ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,1,Buy,,,,,,,,,,
49,49,ATC,Atotech Limited Common Shares,1,Buy,,,,,,,,,,
50,50,ATCO,Atlas Corp. Common Shares,1,Buy,,,1.07,0.15,1.52,15.02,0.71,7.89,0.07,
51,51,ATGE,Adtalem Global Education Inc. Common Stock,1,Buy,,,,,,,,,,
52,52,ATH,Athene Holding Ltd. Class A Common Shares,1,Buy,,,1.61,0.17,9.23,104.25,0.88,6.18,0.05,
53,53,ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,1,Buy,,,0.42,0.4,3.94,174.32,0.58,3.99,,
54,54,ATR,AptarGroup Inc. Common Stock,1,Buy,,,,,,,,,,
55,55,ATTO,Atento S.A. Ordinary Shares,1,Buy,,,,,,,,,,
56,56,ATUS,Altice USA Inc. Class A Common Stock,1,Buy,0.03,0.01,1.18,0.08,2.09,-2.84,0.5,4.39,0.23,0.0
57,57,AU,AngloGold Ashanti Limited Common Stock,1,Buy,,,0.13,0.2,2.09,9.14,0.32,2.51,,
58,58,AUD,Audacy Common Stock,1,Buy,,,1.81,-0.18,0.88,4.44,0.55,12.17,0.06,
59,59,AVA,Avista Corporation Common Stock,1,Buy,,,0.63,0.11,2.17,29.71,0.85,3.45,0.03,
60,60,AVB,AvalonBay Communities Inc. Common Stock,1,Buy,,,0.94,0.48,3.7,78.26,0.92,3.25,0.02,
61,61,AVNS,Avanos Medical Inc. Common Stock,1,Buy,,,,,,,,,,
62,62,AVY,Avery Dennison Corporation Common Stock,1,Buy,,,1.03,0.09,9.55,20.54,0.9,1.99,0.01,
63,63,AWK,American Water Works Company Inc. Common Stock,1,Buy,0.09,0.25,0.27,0.19,4.61,36.86,0.87,1.84,0.01,1.0
64,64,AXL,American Axle & Manufacturing Holdings Inc. Common Stock,1,Buy,,,2.42,0.04,1.97,3.87,0.94,3.31,0.06,
65,65,AXP,American Express Company Common Stock,1,Buy,,,1.23,0.19,9.65,31.4,0.87,2.64,0.01,
66,66,AXS,Axis Capital Holdings Limited Common Stock,1,Buy,-0.11,-0.03,,,,,,,,
67,67,AXTA,Axalta Coating Systems Ltd. Common Shares,1,Buy,,,,,,,,,,
68,68,AYI,Acuity Brands Inc. ,1,Buy,0.11,0.07,1.61,0.09,12.23,57.59,1.04,4.65,0.05,1.0
69,69,AYX,Alteryx Inc. Class A Common Stock,1,Buy,-0.07,0.33,0.69,-0.11,0.06,6.42,0.78,4.42,0.05,0.0
70,70,B,Barnes Group Inc. Common Stock,1,Buy,,,1.26,0.07,2.46,27.5,0.89,3.48,0.02,
71,71,BAK,Braskem SA ADR,1,Buy,,,0.94,0.11,3.19,21.76,0.02,1.29,,
72,72,BBY,Best Buy Co. Inc. Common Stock,1,Buy,0.55,0.29,1.55,0.05,9.29,17.53,0.83,3.56,0.04,1.0
73,73,BCC,Boise Cascade L.L.C. Common Stock,1,Buy,,,,,,,,,,
74,74,BCE,BCE Inc. Common Stock,1,Buy,,,0.34,0.13,2.74,20.34,0.48,4.36,,
75,75,BCH,Banco De Chile Banco De Chile ADS,1,Buy,,,,,,,,,,
76,76,BDN,Brandywine Realty Trust Common Stock,1,Buy,,,,,,,,,,
77,77,BDX,Becton Dickinson and Company Common Stock,1,Buy,0.19,0.2,0.76,0.1,12.4,84.03,0.88,1.51,0.01,1.0
