,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio,Buy
85,AMAT,0.6593124999999997,0.27925,0.1833,1.450543,4486629.0,0.22353001,,7.37,13.122,11841446.0,0.012999999,4.802,0.82063,0.00369,1619913600.0,1666656000.0,1.32,129088856064.0,0.762,13334281.0,0.012999999,0.78,1
86,PANW,0.3200725,0.242411111111111,0.0,1.391608,1245786.0,-0.10998,,7.12,10.238,4882883.0,0.0502,-4.564,0.86126,0.02173,1627689600.0,1659225600.0,5.62,43672408064.0,,4774241.0,0.0513,2.75,1
87,DKS,0.4579525,0.3991727272727272,0.119899996,1.709239,4470524.0,0.092700005,,7.22,30.663,11271475.0,0.1263,10.535,1.12325,0.042719997,1619827200.0,1675036800.0,5.57,10073369600.0,,11346313.0,0.2039,0.55,0
88,VZ,0.4364466666666668,0.2515888888888889,0.5197,0.455621,11310714.0,0.15045,,5.17,17.206,50276438.0,0.0121,4.562,0.66517997,0.00018999999,1625011200.0,1672444800.0,3.29,405215215616.0,0.234,47523444.0,0.0121,2.91,0
89,QS,0.6259675000000002,0.34365,0.0,,3965697.0,0.0,,,,32254260.0,0.0794,,0.31621,0.34981,1617148800.0,1672444800.0,3.14,10112214016.0,,30822697.0,0.1867,,0
90,VALE,0.502605,0.2476272727272727,0.5988,0.552093,15746721.0,0.2283,,3.93,40.439,57430804.0,0.0112,2.212,0.25441998,1.0000001e-05,1617148800.0,1672444800.0,1.72,144500572160.0,30.061,63889257.0,,0.11,1
91,GOLD,0.472955,0.0895090909090909,0.2374,0.00196,12880121.0,0.19188999,,1.31,13.312,28260194.0,0.0159,1.385,0.62436,0.0055400003,1617148800.0,1672444800.0,1.91,44876124160.0,0.345,15555205.0,,-2.46,1
92,GS,0.43387,0.31299375,0.091400005,1.485854,1955143.0,0.36582002,,35.96,249.017,4088043.0,0.012,40.258,0.73407,0.00559,1625011200.0,1672444800.0,1.4,42696871936.0,13.708,5187308.0,0.0121,0.33,0
93,SBUX,0.5307250000000001,0.0582451612903225,2.0235,0.875543,2974133.0,0.04176,,3.6,-6.498,10554956.0,0.009,0.849,0.71114,0.00174,1616889600.0,1664236800.0,1.69,151317561344.0,1.008,9619087.0,0.009,0.69,1
94,WDAY,0.4151435897435898,0.272072,0.0,1.277717,1885652.0,-0.03812,,3.52,13.843,7417590.0,0.03,-0.712,0.92605,0.00947,1619740800.0,1675123200.0,4.08,58190729216.0,,6754507.0,0.0395,4.94,0
95,V,0.41662,0.3114117647058823,0.25620002,0.996195,6426099.0,0.4993,,7.05,16.084,25768090.0,0.0121,4.838,0.97214997,0.00119,1617148800.0,1664496000.0,3.89,506496352256.0,-0.019,28466363.0,0.0152,2.06,1
96,AEO,0.45687,0.4379727272727273,0.3716,1.457772,5187918.0,0.03379,,2.31,7.011,21817561.0,0.1301,0.806,1.14533,0.06854,1619827200.0,1675036800.0,6.0,6633947136.0,,22359173.0,0.1663,1.96,0
97,TGT,0.5802999999999999,0.4243357142857143,0.2204,1.003804,1945868.0,0.062979996,,12.15,30.154,9100652.0,0.0184,12.248,0.82178,0.00232,1619827200.0,1675036800.0,2.46,124831916032.0,6.384,6907706.0,0.0184,1.51,1
98,SPLK,0.5770674999999997,0.3934083333333333,0.0,1.238043,1998093.0,-0.46723,,-0.5,7.603,5830251.0,0.0356,-6.661,0.90442,0.00339,1619740800.0,1675123200.0,2.84,23261241344.0,,6122306.0,0.0423,1.45,1
99,QCOM,0.73393,0.4138047619047619,0.373,1.341304,5225974.0,0.27277002,,8.6,6.576,17393068.0,0.0154,6.983,0.7496,0.00132,1616889600.0,1664236800.0,1.75,157075554304.0,2.765,16718120.0,0.0154,0.56,1
