Ticker,Conversations,Headlines,regularMarketVolume,profitMargins,sharesShort,sharesPercentSharesOut,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,sharesShortPriorMonth,Buy
NKE,0.2747252747252747,0.47044334975369456,0.05999968401132409,0.738134772515588,0.0882216291832231,0.01778808971384377,0.7281323614382862,0.004596768741972554,0.49166666666667425,0.19934640522875924,0.1021566401816118,0.20792593075481583,0.09402222907162879,1
UNH,0.3461538461538462,0.42980295566502463,0.0328478303866414,0.7222995403061387,0.04659846158004556,0.013147716937354989,0.7897905906929198,0.00954843507064152,0.75,0.8986928104575185,0.1713961407491487,0.2920928871840477,0.05658331612103804,1
BAC,0.5384615384615385,0.21428571428571427,0.36181670082075135,0.8544001726875735,0.7031774525732796,0.04021655065738592,0.6097048424374417,0.0015716893125126748,0.75,0.8986928104575185,0.16004540295119182,0.17955828829980247,0.7500959061277315,1
CVX,0.19780219780219782,0.3977832512315271,0.08711845245131142,0.6296050652553635,0.10494944072655095,0.015467904098994581,0.5453464598426597,0.00027039812749273304,0.75,0.8986928104575185,0.09761634506242906,0.22389961725086863,0.20108875987969377,1
BA,0.42857142857142855,0.4519704433497537,0.1128944562712634,0.5481439692011559,0.07190048686440187,0.08971385150812067,0.40055113560602706,0.0010646927600892313,0.75,0.8986928104575185,0.0,0.19640704833481132,0.09551451764493936,0
PGR,0.15659340659340665,0.6834975369458128,0.027543071012018104,0.7738900741728105,0.037957451244886385,0.03248259860788862,0.7275323347704343,0.0046981680524572425,0.75,0.8986928104575185,0.1623155505107832,0.1499708896265597,0.04847382841263591,0
NOV,0.09340659340659341,0.48891625615763545,0.032757972569842274,0.6099594315683683,0.12208509157345025,0.2807424593967517,0.8126917196319838,0.008466842763469208,0.75,0.8986928104575185,0.33371169125993183,0.12737108060304098,0.15385321174096528,0
ADBE,0.3736263736263737,0.45443349753694584,0.030235446673399956,0.9409673503939755,0.035993673782993306,0.044856921887084296,0.7479443530823593,0.0048502666801865735,0.5333333333333314,0.7875816993464042,0.14982973893303064,0.22083815454134167,0.04013663410184599,1
NCLH,1.0,1.0,0.13756164412419059,0.6813168780593787,0.3439931384050717,0.8940448955916473,0.3281368060802703,0.006726154262151016,0.0,0.8986928104575185,0.17026106696935298,0.1318498331235421,0.38183923683901333,0
F,0.9423076923076923,0.5480295566502463,0.5889757285587055,0.7009816627319013,0.6960756694685899,0.1268368136117556,0.3950730810258234,0.0037348746028527,0.75,0.8986928104575185,0.09534619750283768,0.19198155744849596,0.7453800525956077,1
INTC,0.6923076923076925,0.4753694581280788,0.20869235693612698,0.8340716041977326,0.425234986821533,0.06419180201082753,0.5273457042535223,0.0005407963901845466,0.7166666666666686,0.882352941176471,0.1271282633371169,0.22198043034125436,0.5377575165881544,0
W,0.3901098901098901,0.0899014778325123,0.006215988792934963,0.6896653163429424,0.09278759180939002,0.8924980201082754,0.921218720832037,0.10616507131751503,0.0,0.8986928104575185,1.0,0.13631973766021044,0.11102915081815888,0
NFLX,0.5851648351648351,0.37438423645320196,0.03319263254847207,0.7722242288401395,0.07449772471450895,0.1368909512761021,0.7061424952220099,0.024758331643344823,0.75,0.8986928104575185,0.2622020431328036,0.21764910134923116,0.07727293720068296,1
DIS,0.7747252747252749,0.37438423645320196,0.0607227246182096,0.6292795559447806,0.17725069930285747,0.0580046403712297,0.5399461531623628,0.0016899885080781448,0.01666666666665151,0.6078431372549034,0.21112372304199775,0.28154926233154565,0.2146878237094941,0
COST,0.4945054945054946,0.4519704433497537,0.01306684564889445,0.6968393559422402,0.023687410409441136,0.023975251353441605,0.5714587314991778,0.0032954775907523826,0.375,0.4967320261437891,0.08626560726447219,0.1916622038330783,0.03490150086899268,1
TWTR,0.282967032967033,0.3830049261083744,0.07832582177536482,0.5099313545194315,0.2167739440700008,0.23279195668986855,0.6609738655051336,0.042080715541134316,0.75,0.8986928104575185,0.1362088535754824,0.14086947403709915,0.29929463375575005,0
WMT,0.5521978021978022,0.7931034482758621,0.09506619962760149,0.6967372350112822,0.11152306270598202,0.0,0.13680608027023425,0.8290407625228148,0.25833333333332575,1.0,0.1271282633371169,0.30440088250948,0.12476638683320933,1
MDT,0.7994505494505495,0.49507389162561577,0.06972202359148047,0.7513020659640235,0.08604181114983576,0.026295436968290793,0.7196430952486778,0.0007604948962347056,0.24166666666667425,0.07843137254901933,0.19863791146424517,0.2002797171420278,0.062245614264454206,1
