,Recent headlines and conversations for NKE,Polarity
3936,"Gracias and adios, Nike! Cashing out and donating to my favorite GOP candidates.",0.4533
3937,prophet will continue to ask for facts but provide no substance of his own. he will just continue with his commenting with his OPINIONS. LOL,0.6876
3938,I see these liberals are still drinking their maxine coffee. LOL,0.5875
3939,"But, but...I thought Krapernik was wonderful for sales? Oh, that was online sales - probably with stolen credit cards...my bad - guess the rest of us aren't buying their s**t anymore - Bye Felicia",0.6141
3940,"The impact of ""boycott nike"" will be felt in next earnings release. The boycott is real and will hit Nike stock hard. Crazy to buy.",-0.7283
3941,I believe that Trump should institute a 100% tariff on all Nike and related products today to show support for our troops and American law enforcement.,0.5656
3942,Great way to lose business...Nike selects Colin Kaepernick for ‘Just Do It’ ad campaign...hahaha....I will not buy a Nike product now!,0.5703
3943,"Lots of money lost today I feel for ya mare...tough one and with tomorrow's outlook dim this will be a real stinker for ya, but hey can't win em all...$NKE Hates COPS nuff said....",-0.7986
3944,Is their CEO a BLM memeber? Just curious?,0.6028
3945,Timberrrrrrrr!!!!,0.0
3946,"I supported Kapernick protesting, Saying the Betsy Ross flag is offensive because it's from a time when slavery existed is nuts, Its not the Confederate flag & I'd buy those shoes for sure.",-0.7594
3947,Its going to be a Long Hard Year for Kraephead NIKE Traitor Longs,0.4024
3948,Nike is now a liberal brand that has no value or standards!,0.2343
3949,TSLA MELTDOWN UNDERWAY..........NKE NEXT!,-0.3598
3950,WE CREATE JOBSMAD MAX CREATES MOBS LOVE THAT SLOGAN ROFLMAO,0.8925
3951,interesting to see if NKE is a buy or sell for the weekend.,0.6032
3952,"Nike closes running camp tied to scandalNike (NYSE:NKE) CEO Mark Parker says the company is shutting down its Nike Oregon Project training group following the four-year ban of Alberto Salazar by the U.S. Anti-Doping Agency .""This situation, along with ongoing unsubstantiated assertions, is a distraction for many of the athletes and is compromising their ability to focus on their training and competition needs. I have therefore made the decision to wind down the Oregon Project,"" states Parker in a memo sent to Runner's World.The Nike Oregon Project was a camp designed primarily to develop U.S. endurance athletes with decorated marathon runner Salazar serving as the head coach.",-0.8444
3953,Where is Zee the ? Must be cuddling with BA .,-0.0017
3954,"Remember when Mueller investigated Obama's buddy Al Sharpton for tax evasion, while he visited Obama 61 times in the White House?Hillary doesn't either",-0.2333
3955,"I predict this stock has a big fall coming. Big money was holding it up so they could sell shares, they know its coming.",0.8223
3956,Time to short this stock.,-0.3088
3957,"Warren is no more native American than average American is native American and she got all those freebies? Attention, all HS kids, run DNA test to show you are 0.01% native American and you can get into any school you like!",0.9259
3958,"Margins, North America sales missed",0.2684
3959,Is Alabama and the rest of patriotic college football going to leave Nike on their jerseys? Gonna be backlash if they do.,0.8062
3960,FINALLY substantial action is being taken against this barbaric company. But we need to keep up the pressure. Boycott Nike. And let Nike know what you think about them.https://www.foxnews.com/sports/arizona-ducey-nike-plant-incentives-reported-colin-kaepernick-betsy-ross-flag-flap,0.3726
3961,"All Blue, it takes a ton of insecurity to brag about your career here. I could do that too but I don't feel the need lol",0.49
3962,I don’t own Nike but WOW! Great job! Good luck to longs,0.9745
3963,"Big picks, big winners, every week. That’s how I turned things around from losing trades. My secret weapon is (http://Thetraderguide.com). Join them today.",0.74
3964,This company is going down. Sell while you can more colleges are dropping the name.,0.2815
3965,"Your 401 investment groups below. Contact them and let them know your thoughts on their investments.Top Institutional HoldersHolder Shares Date Reported % Out ValueVanguard Group, Inc. (The) 101,511,950 Dec 30, 2017 7.82% 6,390,177,329Blackrock Inc. 79,221,723 Dec 30, 2017 6.10% 4,987,007,523Capital World Investors 64,646,705 Dec 30, 2017 4.98% 4,069,510,129State Street Corporation 59,685,279 Dec 30, 2017 4.60% 3,757,188,358Wellington Management Company, LLP 48,222,328 Dec 30, 2017 3.72% 3,035,595,584Capital Research Global Investors 45,569,320 Dec 30, 2017 3.51% 2,868,588,728Bank Of New York Mellon Corporation 27,058,353 Dec 30, 2017 2.08% 1,703,323,341Morgan Stanley 24,969,718 Dec 30, 2017 1.92% 1,571,843,767Northern Trust Corporation 21,121,095 Dec 30, 2017 1.63% 1,329,572,946FMR, LLC 20,101,835 Dec 30, 2017 1.55% 1,265,410,528Top Mutual Fund HoldersHolder Shares Date Reported % Out ValueGrowth Fund Of America Inc 31,827,000 Dec 30, 2017 2.45% 2,003,509,674Vanguard Total Stock Market Index Fund 30,387,385 Jun 29, 2017 2.34% 1,609,012,058American Balanced Fund 23,713,000 Dec 30, 2017 1.83% 1,492,733,368Vanguard 500 Index Fund 20,910,627 Jun 29, 2017 1.61% 1,107,217,715Vanguard Specialized-Dividend Growth Fund 20,662,485 Jul 30, 2017 1.59% 1,212,267,957SPDR S&P 500 ETF Trust 16,696,774 Jan 30, 2018 1.29% 1,128,368,017Vanguard Institutional Index Fund-Institutional Index Fund 14,543,960 Jun 29, 2017 1.12% 770,102,693Fundamental Investors Inc 11,662,000 Dec 30, 2017 0.90% 734,122,908Vanguard Specialized-Dividend Appreciation Index Fund 11,317,980 Jul 30, 2017 0.87% 664,025,865Investment Company Of America",0.9831
3966,Cortez does not know the 3 branches of government.This is the future of the Democratic party,0.4692
3967,"Hope And Change? Florida Poll Shows Ron DeSantis Leading Andrew Gillum In Governor’s Race For The First TimeALLAHPUNDITPosted at 8:41 pm on October 25, 2018",0.9103
3968,I don't buy Nike anymore...,-0.0989
3969,Dilly Dilly.,0.0
3970,Foot locker tanked huge on earnings have lawsuits against themHow can Nike be at near record levels ?,0.3142
3971,NOW KRAPERNICK HAS A HAIRSPRAY COMMERCIAL,-0.0233
3972,Ever hear of Pat Tillman ?,0.1525
3973,today is just the start of a long downtrend in this stock,0.4045
3974,"I had my doubts about Nike, but I'm glad to see them coming back after the bullies. Stronger company than I thought!",0.8446
3975,Kapperwhacker effect,0.1083
3976,WRONG! But I totally agree with the tsunami.......,-0.3234
3977,"""Nelson"" obviously never earned that GED....",0.0546
3978,Nike has fallen and can't get up,-0.4552
3979,why do people buy 300 dollar shoes ??? My shoes cost about 60 dollars.,0.3417
3980,If Kapernick really cared he would get a job as cop. I will never purchase a product or one share of stock of a company that disrespects the National Anthem.,0.8869
3981,liberals look desperate right now. they are saying anything to cover the wounds of this damaged company. LOL,-0.227
3982,"Yes, Nike is exactly like all other shoe manufactures who make their shoes in Thailand, Vietnam, Indonesia etc etc",0.8806
3983,What a typical Wall Street Fraud. Result did not include March and no guidance.,-0.4968
3984,Earnings are gonna tank bad.Theres no doubt about it.,-0.6952
3985,just bought 600 @ 99.25 for,0.1174
3986,Is it good to invest into Nike,0.4699
3987,Selling today and buying Under Armour. I needed a good reason to sell. Anti-American was a good reason...,0.7969
3988,Nike hitting new highs sidelining the MAGAs. Every time shoes are burnt or even explode Nike goes higher.,0.4746
3989,does NKE announcing after the bell on Fri scare anybody else or is it just me ?,-0.4526
3990,revenue 11. 97 bn eps will be 0.90 Usd mark my words ,-0.4507
3991,I wonder how the NFL still making record profits when all these people who live in trailer parks not going to the games too funny .,0.8446
3992,Is Hillary still winning?,0.5523
3993,high and mighty for company that uses slave labor to make their shoes.,0.0704
3994,Nike - Just Done With It! We pulled all the Nike gear off the shelves.,0.5356
3995,Hope Nike gets what’s coming for them.Hope the loss billions oh wait they already did hope it keeps dropping.,0.6865
3996,"Nike profits off third world labor in far eastern countries, specifically China, paying slave wages while selling their products in the United States and Europe for immense markups. All done while lecturing the world on social justice with primadonna's like Colin Kaepernick. Sell Nike to $20, that is what it deserves. That is the markets social justice.",0.9364
3997,"From Texas to Staten Island, the armpit of America-journey of drag queen thomasa!",-0.4763
3998,Nike is up 18% on the year. Making it a top 10% performing stock. If you like making money you should own Nike stock. 25+ years of performance and market share leader domestically/globally you name it. Don't lose focus because a small minority of non-customers are upset. Nike's has done their homework. Their global sales will be just fine.,0.931
3999,NKE SEZ OUR GLUE IS A SECRET FORMULA....HOLDS THE FINEST CHINESE RUBBER AND CANVAS TOGETHER WITH EASE...YOU ARE FORTUNATE THAT WE ALLOW YOU TO PURCHASE AT HIGH PRICES,0.8938
4000,"Prohpet, since you can't answer my question about Adidas's outpacing Nike in 2018 sales, how many shares of nike do you own? You seem to be adamant in defending Nike.",0.4747
4001,https://www.foxnews.com/opinion/todd-starnes-hockey-coach-megan-rapinoe-national-anthem-nfl-womens-soccer,0.0
4002,TOLD YOU GUYS IF THE OLD PEOPLE STOP BUYING THEN THE MINORITIES HAVE NO ONE TO STEAL FROM ROFLMAO,0.0699
4003,55 is fair value. Chinese hit list and trade tariffs make it a 40 dollar stock,0.7678
4004,DeplorableBitterClingerWE WONT EVER SEE THE AD AGAIN,0.5121
4005,Under armor way better,0.3216
4006,"Shorted this at $98. I think once other companies start reporting Q2 earnings, we'll finally start to see some blood. The wounds are already there, just needs to be exposed.",0.7083
4007,"Will republicans boycott Nike now ? Dangerous move to be involved in politics ?“Colin Kaepernick's new 'Just Do it' Nike ad puts pressure on NFL to take a stand”10:26 pm EDT Sep. 3, 2018",-0.5901
4008,"""The Bad Stuff That the Stock Market Worried About Is Starting to Happen""For the first time during Donald Trump’s presidency, both economic statistics and sentiment indicators are missing analysts’ expectations. So-called hard data includes government and private-sector data on consumer spending, jobs, manufacturing and housing, while the soft stats looks to Fed factory surveys and consumer confidence polls.Anything that suggests cracks in the earnings and macro foundation would go down poorly on Wall Street. That’s what was happening Thursday, as Apple’s outlook clouded profit forecasts at everything from semiconductor suppliers to electronics retailers, and the Institute for Supply Management index miss spurred speculation the economy isn’t doing as well as hoped.For investors trying to read the tea leaves, two risks exist. One, that the market saw something the professional prognosticators didn’t. And two, that the losses piling up in financial markets become a kind of self-fulfilling prophesy, denting sentiment and impairing consumer and business confidence.“It’s psychology of the market, which now is that growth is slowing and it almost feeds on itself,” Laurence Benedict, founder of Opportunistic Trader, said in a phone interview. “Businesses don’t want to spend because we potentially are going into a recession. Overall, the perception leads into reality. ”",-0.463
4009,Nike's deal with Kaepernick adds almost $6 billion to company's market value,0.4335
4010,MIKE TOP LINE GROWTH IMPOSSIBLE WHEN THESE GUYS ARE STEALING THE SHOES VOTE RED,-0.0207
4011,"This earnings report has the same feeling the tesla earnings report gave when magically they announced profitability for the dirst time by pushing all and any recenue into that quarter to acheive profitability in order to secure financing. Nke has the same feel withh this report. If they give guidance stock craters but .... imo... stock trades down after euphoria dissipates. Hangmen didn't bring a rope kind of euphoria. Nke still has to justify a bloated valuation in a slowing market. On line sales aaved their bacon, this time. Going forward, nope. Market takes nike sown after releif rally. Maybe as soon as marker close tomorrow. Opens green , closes red. Reebok and adidas in this house. No nike knee pqds. Nike, trades down, overvalued, after hours just bag holders for shorts.",0.6122
4012,Stooge has been broken.1 of his multiple personalities down and many more to go,-0.2721
4013,Nike could have sold zero items and the media will tell you fake news. The liberals want to get rid of the border and make soccer our national sport. Women can’t play football,0.6804
4014,will Nike close below the current session low of $74.15,-0.5904
4015,Kraepernik Ad Campaign was soooo smart !! LOL!!,0.8455
4016,"Look at a one month chart for Nike, not pretty....",0.3561
4017,LOL!! https://www.yahoo.com/news/donald-trump-election-apos-traumatic-202033446.html,0.627
4018,"Just reading Tom's comment--""As an investor, Nike is a great company. The stock just goes up and up.... thanks to blcks worshiping their racist athletes and America-hating heroes. Whether buying or looting Nike apparel, the stock just goes up. As a freedom loving American, Nike represents violence, looting, division, hatred, greed, blck-based racism, violence, child-labor, profit ($2 sneaks selling for $200+) and all that is bad in the world. Nike can keep their Kaepernick stinky overpriced sneaks. I love Nike stock but hate their products or what the company represents.""It literally covers all bases and is true.",0.4337
4019,mares busy right now....mares its moma lpease help wash the bugs off will you dear,0.6836
4020,Coming from the company that has child slavery over seas making their sneakers,-0.5521
4021,Tulips don’t grow to the moon sir. Prepare for a dip,0.3411
4022,"THE ""NEW"" NKE GOIN' DOWN IN HISTORY WITH ""NEW"" COKE",-0.314
4023,adidas is german but i feel more american wearing them than nike!,-0.1133
4024,"as ""ruster"" stated, we also sold all nke off last year. NKE is in a box now: they can't get rid of colin, and they can't keep him. all adidas and kanye yeezy now.",0.2382
4025,Once the Pooh is caught in the Whirlpool theres stopping it!! FLUSHHHH,0.2627
4026,Support won't mean squat with this newsTOXIC,0.3924
4027,Tic Toc Tic Toc The NIKE Snowflake meltdown watch has begun,-0.2749
4028,"if any of you all have afterhours trading, just sell, its gonna hurt worse tomorrow.",-0.6058
4029,"Nike is based in Portland, ... no surprise there.Just Burn It.",-0.0069
4030,"Let me get this correct? ""Just Do it, sometimes you just have to sacrifice it all."" With the PC environment and loose connection to anything said, the folks upset by the kneeling protest are most offended because it disrespects those who serve in uniform who are the true heroes who risk sacrificing it all. There is no comparison to risking a sports career to risking your life. Seems poorly thought out to me.",-0.8648
4031,"Trying to prop up AH pps with small insignificant buys won't work, will tank tomorrow low $70s predicted glta",0.1082
4032,NIKE depending on Antifa parents and Drug Dealers to keep their FAILING business running!!,-0.276
4033,"Headed straight to $50 by next week, then $20 by Christmas, with the chpt 11 death knell news coming post Christmas’ after it’s disastrous sales. It’s absolutely business suicide folks. Pretty funny, and a very easy short here.",-0.6062
4034,NKE is down 4.96% to 95.28,-0.2462
4035,Took my recent purchase of $300 in golf attire back to store today...Just doin’ it!!!,0.5917
4036,Fund Name Symbol Percentage AB Growth B Fund AGBBX 2.97%Alger Green C Fund AGFCX 3.36%AB Growth C Fund AGRCX 2.97%AB Growth A Fund AGRFX 2.97%AB Growth Advisor Fund AGRYX 2.97%AB Growth I Fund AGFIX 2.97%AB Growth K Fund AGFKX 2.97%AB Growth R Fund AGFRX 2.97%Alger Green I Fund AGIFX 3.36%Amana Income Investor Fund AMANX 3.49%Amana Income Institutional Fund AMINX 3.49%BMO Large-Cap Growth A Fund BALGX 2.35%Bridge Builder Large Cap Growth Fund BBGLX 1.68%Barrett Growth Fund BGRWX 2.84%AMG Managers Brandywine Blue Fund BLUEX 2.54%Bridgeway Managed Volatility Fund BRBPX 0.99%Boston Trust Asset Management Fund BTBFX 2.22%Eaton Vance Tx-Mgd Growth 1.0 Fund CAPEX 2.43%Columbia Select Large Cap Growth Y Fund CCWRX 3.64%Columbia Select Global Equity I Fund CGEIX 3.07%Columbia Select Global Equity R Fund CGERX 3.07%Columbia Select Global Equity W Fund CGEWX 3.07%Columbia Select Global Equity Z Fund CGEZX 3.07%Columbia Select Large Cap Growth R5 Fund CGTRX 3.64%ProFunds Consumer Goods UltraSector Inv Fund CNPIX 2.94%Mutual Funds with exposure to Nukeee....,0.9808
4037,EOS launch of the coin,0.1065
4038,Used to tee up a Nike golf ball w my mind focused on golf. Now the logo would trigger a storm of controversy and I'd lose concentration. I can't have that. You're doing this to try to make money. Play fake 'do gooder' somewhere else.,0.5912
4039,"I see the analysts are already preparing the excuses for the earnings miss coming tomorrow. China tariffs, climate change, etc",0.5635
4040,https://www.oregonlive.com/business/2020/08/nike-could-lay-off-10-of-staff-stock-analyst.html,0.0
4041,Colleges dropping NIKE like a bad habit!,-0.3164
4042,Thanks Kap. I bought when your ad came out and knew it was the right thing to do. GO NIKE!!!,0.6367
4043,"F Nike I’ll never buy another pair of Nikes I know they won’t go bankrupt, but I hope they lose a ton of money",-0.0499
4044,Both Nike and Under Armour announced their CEOs are stepping down today. Interesting.,0.2679
4045,Does the blue wave look like the NKE swoosh??,-0.3391
4046,"At best, that is all Colin sacrificed … some money and it’s debatable if he really lost his career over it. Maybe he sacrificed the respect of some people while he gained the respect of others. Or maybe he used one career to springboard himself into a different career when the first was waning. I don’t know. What I do know is, he gained popularity and magazine covers he likely wouldn’t have gotten without getting on his knees or as you say, “believing in something.” I’m also thinking the irony is that while I am not privy to the numbers, it’s likely he gained a lucrative Nike contract. So yeah… that whole “sacrificing everything” is insulting to those who really have sacrificed everything.You want to talk about someone in the NFL sacrificing everything? Pat Tillman. NFL STARTING, not benched, player who left to join the Army and died for it. THAT is sacrificing everything for something you believe in.https://www.snopes.com/fact-check/taya-kyle-nike-american-sniper/",0.981
4047,Thank you for the cheap shares. Brought my CDA up by $3 but I'm betting NKE will be $188 by 3Q. Come on Colin! Play your magic ghtto flute!,0.8486
4048,Listen to the socialist temper tantrum going on here! Trump was wrong about one thing. I haven't got tired of winning yet!,-0.2757
4049,Dow down 700+ points...this market is schizophrenic. This may be the new normal.,-0.0055
4050,I believe Nike jeopardizes everyone by selling cheap shoes to make extraordinary revenue.,0.7118
4051,They can only prop it up for so long! This will be down over 10% eod,-0.323
4052,Short sellers are going to make a TON of money today,-0.1797
4053,"Kaepernick didn't simply ""peacefully protest"". He said himself that the country/flag isn't worth standing for. He wore pig cop socks. He made positive remarks about Castro and wore a Che shirt. He donated 25K to a group that honored a cop killer. Not a guy I would want as the face of my company.",0.3713
4054,84 to 70. OUCH!,-0.6714
4055,Where have all the articles gone about the $3 billion dollar man? If Krapernick made the stock go up I guess he is not responsible for the fall? For the record it went up when the market was UP six days in a row but somehow he got all the press and accolades for it.,0.814
4056,Avenatti-Stormy 2020 Just do it demrats!,0.2153
4057,Time to SHORT NKE,-0.5897
4058,Who is your favorite CNBC girl?,0.7856
4059,"Just because investor sentiment favors Nike today does not mean that the alledged ""failed"" boycott will not take its toll and show up in the next couple of quarters. I for one will not buy another Nike product and a lot of other folks I know have said the same thing.",0.6143
4060,I think all sporting events should be free.,0.5546
4061,"only a matter of time as customer support for athletes switches to support for their country. if anyone protested a major chain like Macy's, game over and Nike tanks 20%",0.8075
4062,POST EARNINGS LOW BROKEN!! ALERT ALERT!! SELL OFF CONFIRMED!! SHORT AT WILL!! ESPECIALLY DEADCAT BOUNCES!!,-0.6938
4063,Thanks to Brother Colin!,0.5454
4064,"I CAN ONLY SPEAK FOR PEOPLE HERE IN THE SOUTH, IN MY AREA, BUT THE LATINOS HERE LOVE TRUMP THAT IS NOT MADE UP EITHER, NOR MY OPINION, THAT'S COMING STRAIGHT FROM MY LATINO CUSTOMERS AT WORK AND LATINO FRIENDS",0.9403
4065,"IF THE NFL WONT HIRE HIM, ASK YOURSELF WHY ? WHY WOULD ANYONE BUY A NIKE BRAND NOW ?",0.2904
4066,sad day,-0.4454
4067,"Jack it's not Yahoo, it's Prophet. Anytime we say something he can't argue with he reports us. This is how Liberal debate. Like when Billary received the questions to the debate before the debate!if they can't cheat they don't try",0.8638
4068,never liked Nike stock anyway!,0.6762
4069,Anyone know if there was a specific reason NKE outpaced stock market yesterday? I’m not complaining,0.3366
4070,Why is Nike down... Welfare can't buy a second pair of sneakers in one week?,0.3224
4071,Kraepernik Ad Campaign is just DESTROYING this Company.Heres how it works fools.Commie-Libs say Trump cant be President.WE elect him President.They say Kaepernik can disrespect flag-NFL ratings Tank because WE tanked them.Taylor Swift goes Commie-Lib and American Music Awards ratings are the LOWEST EVER because WE didn't watch her.WE are in control.WE OWN YOU!!,-0.2621
4072,"Nike seems to flipping off middle America with this statement:‘You can be darn sure that Nike has done its research and knows what will move its product and who this campaign will resonate with. They are the ones [Nike has] decided will be its future customers, so, if others are getting upset, [Nike has] planned for that, and it doesn’t care.’ Aaron Goldman, 4C Insights",0.5236
4073,did they pull the ad?,0.1718
4074,I wonder what the Uneducated (Democrat voter) NFL players think?Perhaps Yahoo could 'pen' that article,0.6529
4075,Ya I'm shopping for new shoes right now. My Gym is closed.,0.3462
4076,I returned a pair of Nike shoes yesterday for a refund... The clerk asked me what was wrong with them...I told her they hurt my feet when I stood up for the National Anthem...,-0.6481
4077,looks like institutional dumping going on..... WOW,0.7324
4078,Great move NIKE. Buying more today,0.7787
4079,"Not only don't I buy nike I don't buy from anyone wearing nike weather it be a car, solar,paint salesman or whatever.If i go into a restaurants or anything else if the people are wearing nike I don't tip.",0.2332
4080,goin down!!!!!,-0.4715
4081,"""Checks over stripes""",-0.1061
4082,"I keep hearing that it's all about Krapernick and Nike and First Amendment rights. Fine. Opposition to Krapernick and Nike have the same rights. You want to shove something down our throats, we just tell you to shove it. Just Do it.",0.6128
4083,I SHOULD NOT BE COMPLAINING BUT WHAT NIKE HAS DONE TO MANY OF THEIR REALLY LONG TERM RETAILERS IS NOT HEALTHY FOR MAIN STREET AMERICA.,0.8386
4084,"Before you vote in November.....Visit any Walmart on Welfare-check-cashing day in a black ghetto. Stand in line, you will see.",0.5795
4085,"Can’t wait to see the tRUMPsters mouths drop open when they see they owe money to the IRS.......well, at least the few with jobs, the majority on SSI disability don’t file or pay taxes, just like their orange leader.",0.7934
4086,"50----50--ELECTION---so Nike lost the 50 % that voted for Trump----that will sink in , 50% of the population HATE -Nike -----Nov- December sales---down--20--30%-----let the Dems buy the company",-0.7494
4087,And I’ll proudly stand up God Bless the USA,0.8931
4088,Biden-Beto 2020 !!! “Biden advisers float Beto O’Rourke as possible 2020 running mate: report”,0.4022
4089,MARES TAKE OUT THE 11 MILLION ILLEGAL VOTES AND HILDAWG LOST BY 8 MILLION CHEERS,0.5362
4090,Looking like people are buying from Nike competition. I'm thinking Nike isn't going to have a good earnings report,0.8272
4091,Never Nike ! Ouch! Condolences to the long shareholders.,-0.2705
4092,"He notes that because each nation’s economy is so tied up to the fate of other nations, any probe into US’s economic future require looking on the global stage. “It’s rare that financial conditions in one major economy tighten without there being a similar tightening in the others,” he writes.",-0.6174
4093,Just an incredibly poor business decision regardless of your personal position. This should not have happened.,0.2815
4094,A reminder to all NKE bashing MAGADOLTS: ALL wealth generating public companies are brainchildren of risk taking liberals and moderates. That includes NKE.,0.0044
4095,Nike is down 4.93% to 136.11,-0.2462
4096,The 7 Best Healthcare REITs To Buy Today! Details at (http://Healthcarestox.online),0.8312
4097,"Goodbye Nike, it was a nice run! Considering my first ever naked short here.",-0.2145
4098,This guy has a good take on NKE earnings.https://www.youtube.com/watch?v=GrAc8UqUcPU,0.5294
4099,$65 fair value,0.5719
4100,STOOGE I KNOW ITS FRUSTRATING THAT YOUR STILL SITTING AT THE BACK OF THE BUS BUT ITS YOUR PARTY KEEPING YOU THERE QUIT BLAMING THE REPUBLICANS,-0.3627
4101,Been buying Nike sneakers and apparel for me and my family for 30 years...it’s over..not no more..good choice Nike..NOT,0.5348
4102,60s this week??,0.1535
4103,How many refugees will kapernick j let live in his house.,-0.1089
4104,"My best guess is that this stock will tank after Q4 earnings are released, if not sooner. I think that the ""kneeling"" issue runs much deeper than Nike understands. They may get some new customers but tons of folks will never buy again. Really no reason to debate this here now. Let's just wait and see the proof one way or another in the earnings, not just the current stock price......",0.8759
4105,Pretty sure they already factored in the backlash to their stock price before making this decision. I know I would and Im not even in the corporate world.,0.832
4106,"If you wear Nike (and Converse) symbols, you promote foreign labor, sweatshop abuse, and hatred of America. The low-info left is getting played once again to support evil globalists. Buy American. Hire American. Take the time to find products specifically USA Made and pay for quality and honest Americans. Pray they can see what they have before it slips away. America first.",0.6773
4107,110 tomorrow,0.0024
4108,"Here we go folks, if you have not yet... now is a great time to sell your shares.",0.8065
4109,Stopped buying any Nike products on September 4th. Hello Adidas!,0.1868
4110,PUT MAD MAX IN CHARGE OF THE BANKING SYSTEM WE WILL BE BANKRUPT BY THIS TIME NEXT YEAR SHE BE GIVING EBT CARDS TO ALL DA BRODERS AND SISTAS,-0.4215
4111,"TOLD YOU THE LAST 2 weeks to buy those April 16th Calls while they were dirt cheap.Huge gains already, and going higher. GO NKE! ",0.407
4112,I support your right To Protest !!I’m also telling you what I would do as a Long term Trader.SHORT NIKE and Dont Look Back....................ace,0.7659
4113,The Avanati thing cannot be good for Nike!,-0.3997
4114,Nike Rock Star!,0.3852
4115,"MARKETS CRASHING, WATCH WHAT HAPPENS IF DUMOCRATS TAKE OVER MAD MAX SAYS SHE WILL RUIN THE FINANCIAL INDUSTRY EVEN YOU DUMOCRATS DONT WANT THAT YOU BETTER VOTE RED",0.0639
4116,"After the US flag remarks by CK, it was the last straw. This year for the first time in over 20 years we bought zero Nike products for our grandchildren. Adidas, Under Armor and all the rest were fine for Christmas and birthday lists, just no more Nike. Nike’s decision to support this flame throwing fool just provides him with a platform to make mean spirited and inflammatory remarks. The Nike management never learns....and now this latest hateful lunacy. I’m just one guy, but Nike will never receive another nickel of benefit from my pocket as long as they are paying CK while he continues to spit on his own country and fellow citizens. Grow a set Nike!!",0.9867
4117,Who is buying stock? There will be 10 times the number of infected at the end of April. So thats when we get back to normal. With 10x more infected. None of this makes sense. Is ti possible the general public actually thinks things will go back to the way they were? It will take years. The longer this goes the worse it will be. Wait til reality sets in. Keeping people employed based on promises. Crazy,-0.6023
4118,"DUMOCRAT LEADERS WANT YOU TO PAY MORE TAXES AND WORK UNTIL YOU'RE 70 YEARS OLD, SO THEY CAN RETIRE WITH BIG PENSIONS AFTER 20 YEARS OF WORK, AND THEY CAN PAY ILLEGALS WELFARE ( FOR VOTES ) DUMOCRATS ARE NOT AT ALL CONCERNED ABOUT THE HARDWORKING MEN AND WOMEN IN THIS COUNTRY VOTE RED",0.8494
4119,"I think Nike has found themselves on the right side of history. It's is soaring like an eagle. BLM is good for America. It personifies what our creed stands for, equality for all not just some who look a certain way.",0.8329
4120,Nike Customers wont be buying more anytime soon as they have just stolen enough to last for a long time during the riots,-0.5635
4121,KRAPERNICK SEZ HE BELIEVES....BELIEVES IN LINING HIS POCKETS WIT $$$$$$$$,-0.1438
4122,Love Nike. Stock products and market muscle.,0.8489
4123,"I guess Nike has been listening to LeBron to much. How about addressing the Black on Black violence in Chicago, over 1000 people have been shot since Memorial Day alone.",-0.6865
4124,Hows that Kraepernik Ad Campaign working out?? LOL,0.7289
4125,"Here is a company using stock buybacks to fake performance (like NKE IBM APPL so many many more). Their long term actual sales are declining but they pump the stock with stock buybacks. This company has a self inflicted black swan event, K commercial, that will hurt sales forever more. This is one strange company",-0.5291
4126,"Adidas raises profit guidance on strong north American sales. First UA, now Adidas taking Nike's market share. Nike is going down",0.882
4127,"Shareholders watching their wealth disappear right before their eyes. Saying to themselves... it'll come back, I know it will. I'll just hold it for a little while longer. Haha!",0.7859
4128,Price move AH is amazing. Those with patience is greatly rewarded.,0.9083
4129,"SHORT!!!!! NIKE is trying to do what coca cola did with targeting sprite on communities. coca cola was successful in sprite sales... however, Nike clothing was more of an elite clothing line where middle class americans would buy. Low income areas are able to buy sprite but not brand new NIKE gear all the time.",0.8839
4130,"UAA earning very bad, that means NKE shoes sales very strong in May quarter, more and more people trend to buy NKE shoes, American economic growth very strong, people have money to buy higher ranking shoes(Nike),SO Adidas, UAA ,SKX and puma sales Will decline in future, NKE shoes sales will continue growth. SO strong buy NKE,",0.9234
4131,po mares...I'm not insane ..I'm NOT..waaaaaaa,-0.7279
4132,NIKE better not be cooking their Books or this stock will dive like Enron.,0.5124
4133,$70 end of week. $40 by mid 2019 when the impact fully sets in.,-0.186
4134,Buy anything but Nike!Just do it!,0.3425
4135,50s coming next week,0.0847
4136,short at the open . easy money.,-0.1494
4137,"I am surprised that the Air Max is so popular. I have a pair, and have been looking for a replacement that is lighter and more breathable.",0.405
4138,"It's crazy how well positioned Nike is for future/sustainable growth. Continue to balance the cool/hip factor while still being accessible for older buyers. Long-term bullish for sure as they continue to pump the consumer pipeline. Also, from a competitive set, both UAA and Adi seem to be stuck in neutral to reverse and Puma isn't at their level, so nobody close to being able to challenge Nike at the top.",0.913
4139,I find it interesting how Yahoo.com is doing everything probably to spin Nike's earnings announcement into something positive. Hedge Fund managers are selling tomorrow. NOT buying.,0.8948
4140,Wall street would call this stock a turd trying to float. Just wait for the holiday 4Q Earnings Report.,-0.1047
4141,Nike is in a contractual Agreement with the NFL through 2028.,0.6778
4142,"HOW is this stock up???? It should be tanking. I don't get it. Come on, investors are supporting this company's decisions.",-0.2448
4143,Made in North Korea. Go Nike! Wow.https://youtu.be/UXpza0UcWxI,0.5478
4144,"REPORT SAYS 77,000 JUST SIGNED UP FOR TRUMP RALLY IN TEXAS I DON'T THINK HILDAWHG GOT 77,000 VOTES TOTAL ROFLMAO",0.828
