Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ARDX,Ardelyx Inc. Common Stock,$1.34,-0.02,-1.471%,138179473.00,United States,2014,2323866,Health Care,Biotechnology: Pharmaceutical Preparations
ARRY,Array Technologies Inc. Common Stock,$19.00,1.37,7.771%,2547771408.00,United States,2020,2793912,Technology,Semiconductors
ASMB,Assembly Biosciences Inc. Common Stock,$3.30,0.07,2.167%,148406310.00,United States,,1021178,Health Care,Biotechnology: Pharmaceutical Preparations
ATNX,Athenex Inc. Common Stock,$3.36,0.02,0.599%,367274006.00,United States,2017,1804899,Health Care,Biotechnology: Pharmaceutical Preparations
ATRO,Astronics Corporation Common Stock,$13.52,0.33,2.502%,418127794.00,United States,,92906,Capital Goods,Military/Government/Technical
AUB,Atlantic Union Bankshares Corporation Common Stock,$34.56,0.06,0.174%,2657835521.00,United States,,276531,Finance,Major Banks
AVAV,AeroVironment Inc. Common Stock,$91.01,-2.84,-3.026%,2258089518.00,United States,2007,397812,Capital Goods,Aerospace
AVT,Avnet Inc. Common Stock,$38.47,-0.29,-0.748%,3827905146.00,United States,,818109,Technology,Electronic Components
AXTI,AXT Inc Common Stock,$7.68,-1.55,-16.793%,326450803.00,United States,1998,5036645,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$126.50,0.01,0.008%,8485226838.00,United States,1994,292201,Technology,EDP Services
BANR,Banner Corporation Common Stock,$52.88,1.06,2.046%,1827094848.00,United States,,167486,Finance,Major Banks
BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock,$26.72,1.26,4.949%,1396591768.00,United States,,113933,Consumer Services,Movies/Entertainment
BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,$3.24,-0.04,-1.22%,117672138.00,United States,,96506,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCPC,Balchem Corporation Common Stock,$139.47,0.71,0.512%,4514718516.00,United States,,98334,Basic Industries,Industrial Specialties
BECN,Beacon Roofing Supply Inc. Common Stock,$52.47,1.24,2.42%,3674721863.00,United States,2004,289160,Capital Goods,Wholesale Distributors
BEEM,Beam Global Common Stock,$28.21,0.96,3.523%,251960464.00,United States,,146040,Technology,Semiconductors
BFIN,BankFinancial Corporation Common Stock,$11.40,0.28,2.518%,157645151.00,United States,,40894,Finance,Major Banks
BGCP,BGC Partners Inc Class A Common Stock,$5.03,-0.06,-1.179%,1939478471.00,United States,,2144735,Finance,Investment Bankers/Brokers/Service
BGRY,Berkshire Grey Inc. Class A Common Stock,$6.99,-0.16,-2.238%,1596148417.00,United States,2021,793104,Capital Goods,Office Equipment/Supplies/Services
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,$55.84,1.00,1.823%,3970786309.00,United States,2020,1551051,Technology,Computer Software: Prepackaged Software
BIIB,Biogen Inc. Common Stock,$301.94,2.13,0.71%,44999157779.00,United States,,797529,Health Care,Biotechnology: Pharmaceutical Preparations
BKNG,Booking Holdings Inc. Common Stock,$2322.12,17.32,0.751%,95345877983.00,United States,,232303,Transportation,Other Consumer Services
BLIN,Bridgeline Digital Inc. Common Stock,$4.60,0.22,5.023%,38610601.00,United States,,394424,Technology,EDP Services
BLKB,Blackbaud Inc. Common Stock,$68.18,1.07,1.594%,3332850781.00,United States,2004,223273,Technology,Computer Software: Prepackaged Software
BLNK,Blink Charging Co. Common Stock,$29.79,-0.86,-2.806%,1255922628.00,United States,,3422083,Miscellaneous,Business Services
BLUE,bluebird bio Inc. Common Stock,$18.29,0.41,2.293%,1236011661.00,United States,2013,817806,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BMBL,Bumble Inc. Class A Common Stock,$54.65,-3.55,-6.10%,6547018410.00,United States,2021,3617268,Technology,Computer Software: Prepackaged Software
BMRA,Biomerica Inc. Common Stock,$4.58,0.04,0.881%,57296762.00,United States,,95571,Health Care,Medical/Dental Instruments
BMRC,Bank of Marin Bancorp Common Stock,$35.54,-0.04,-0.112%,583620146.00,United States,,54565,Finance,Major Banks
BMTC,Bryn Mawr Bank Corporation Common Stock,$39.62,0.80,2.061%,787571946.00,United States,,81629,Finance,Major Banks
BNFT,Benefitfocus Inc. Common Stock,$11.47,0.01,0.087%,382481923.00,United States,2013,102191,Technology,Computer Software: Prepackaged Software
BOKF,BOK Financial Corporation Common Stock,$85.27,2.42,2.921%,5890320114.00,United States,,252433,Finance,Major Banks
BRKL,Brookline Bancorp Inc. Common Stock,$14.56,0.25,1.747%,1138484096.00,United States,,295870,Finance,Savings Institutions
BRKR,Bruker Corporation Common Stock,$86.04,-3.74,-4.166%,12993760628.00,United States,,897949,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,$37.64,0.18,0.481%,3752365325.00,United States,2019,190576,Finance,Specialty Insurers
BRY,Berry Corporation (bry) Common Stock,$6.30,0.46,7.877%,506967439.00,United States,2018,234557,Energy,Oil & Gas Production
BSRR,Sierra Bancorp Common Stock,$23.55,0.09,0.384%,362951729.00,United States,,18724,Finance,Major Banks
BSVN,Bank7 Corp. Common stock,$20.62,0.14,0.684%,186623496.00,United States,2018,2893,Finance,Major Banks
BUSE,First Busey Corporation Class A Common Stock,$23.05,0.11,0.48%,1296972214.00,United States,,118489,Finance,Major Banks
BWEN,Broadwind Inc. Common Stock,$3.07,0.11,3.716%,59512137.00,United States,,292775,Capital Goods,Industrial Machinery/Components
BYND,Beyond Meat Inc. Common Stock,$112.94,0.04,0.035%,7143957357.00,United States,2019,1781367,Consumer Non-Durables,Specialty Foods
CAC,Camden National Corporation Common Stock,$45.72,0.22,0.484%,683568864.00,United States,,24071,Finance,Major Banks
CAKE,Cheesecake Factory Incorporated (The) Common Stock,$45.78,1.36,3.062%,2388735530.00,United States,1992,852793,Consumer Services,Restaurants
CALM,Cal-Maine Foods Inc. Common Stock,$35.31,0.06,0.17%,1725152287.00,United States,1996,350652,,Farming/Seeds/Milling
CAR,Avis Budget Group Inc. Common Stock,$90.30,3.67,4.236%,6008790549.00,United States,,1619409,Miscellaneous,Rental/Leasing Companies
CASA,Casa Systems Inc. Common Stock,$6.90,0.11,1.62%,584893439.00,United States,2017,148519,Technology,Radio And Television Broadcasting And Communications Equipment
CASY,Casey's General Stores Inc. Common Stock,$194.60,4.22,2.217%,7220097072.00,United States,1983,268989,Consumer Services,Food Chains
CATY,Cathay General Bancorp Common Stock,$40.28,0.07,0.174%,3136222511.00,United States,,296879,Finance,Major Banks
CCAP,Crescent Capital BDC Inc. Common stock,$19.14,0.41,2.189%,539123270.00,United States,,70917,,
CCMP,CMC Materials Inc. Common Stock,$130.95,0.22,0.168%,3826667387.00,United States,2000,203708,Technology,Semiconductors
