,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Prediction
724,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
725,0.08,0.36,0.47,0.18,6.07,27.46,0.95,7.02,0.07,Buy
728,0.09,0.19,1.73,0.0,-2.53,8.03,0.96,25.85,0.11,Buy
729,0.09,0.19,1.73,-0.49,-0.84,3.98,0.72,6.23,0.04,Buy
732,0.09,0.19,1.75,0.0,-1.22,4.03,0.79,6.33,0.08,Buy
733,0.09,0.19,1.16,0.0,-0.97,2.31,0.79,8.76,0.13,Buy
737,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
745,0.0,0.25,1.21,-1.29,-4.06,7.2,0.96,7.19,0.04,Buy
750,0.09,0.19,2.94,0.01,0.88,4.23,0.61,6.2,0.17,Buy
751,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
752,0.09,0.19,1.73,0.0,-2.28,4.91,0.41,10.31,0.13,Buy
757,0.02,0.15,0.6,0.11,6.45,26.84,0.91,1.99,0.02,Buy
762,0.09,0.19,1.24,-1.19,-0.13,-0.41,0.47,6.78,0.1,Buy
768,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
769,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
772,0.09,0.19,1.82,-0.02,-0.22,2.37,0.94,6.04,0.13,Buy
774,0.09,0.19,1.54,0.0,-0.41,1.22,0.1,6.57,0.02,Buy
780,0.09,0.19,2.23,-0.24,-0.91,0.1,0.49,2.66,0.02,Buy
786,0.09,0.19,2.19,0.13,2.17,5.29,0.66,1.22,0.05,Buy
793,0.09,0.19,3.52,-1.53,-1.41,-1.39,0.4,3.78,0.05,Buy
798,0.09,0.19,0.87,-0.01,0.78,36.79,0.99,7.39,0.04,Buy
800,0.09,0.19,-9.8,0.0,0.02,0.16,0.07,0.97,0.06,Buy
803,0.09,0.19,1.68,0.11,2.5,9.2,0.18,1.75,0.01,Buy
817,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
824,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
826,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
831,0.09,0.19,1.73,0.0,-0.55,0.09,0.07,1.72,0.05,Buy
840,0.09,0.19,1.7,0.0,2.95,2.9,0.57,0.93,0.03,Buy
864,0.25,0.19,0.49,-0.09,1.86,16.71,0.78,3.35,0.02,Buy
868,0.09,0.19,0.18,0.13,3.98,5.97,0.15,1.12,0.06,Buy
873,0.09,0.19,0.9,-0.34,-0.65,4.99,0.8,7.6,0.06,Buy
877,0.09,0.19,1.97,0.09,1.61,5.62,0.78,0.62,0.0,Buy
880,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
885,0.09,0.19,2.58,-2.71,-0.79,-0.59,0.6,7.8,0.12,Buy
887,0.09,0.19,0.73,0.21,0.41,1.16,0.68,2.37,0.02,Buy
897,0.09,0.19,1.28,-0.25,-1.82,66.02,0.49,5.63,0.06,Buy
900,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
901,0.09,0.19,2.24,-0.26,2.95,1.24,0.1,0.5,0.06,Buy
906,0.09,0.19,1.73,-0.82,-0.62,4.28,0.55,5.87,0.06,Buy
919,0.09,0.19,1.14,0.01,1.18,18.42,1.08,8.88,0.08,Buy
920,0.09,0.19,3.63,-0.17,0.04,0.86,0.14,1.86,0.04,Buy
925,0.09,0.19,0.98,-0.22,2.95,3.42,0.04,8.11,0.06,Buy
927,0.18,0.26,1.78,0.11,3.04,17.86,0.97,1.78,0.02,Buy
937,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
941,0.09,0.19,1.02,-0.04,0.56,2.89,0.15,2.45,0.04,Buy
946,0.09,0.19,1.73,0.0,-2.24,4.06,0.62,8.14,0.06,Buy
951,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
958,0.09,0.19,0.32,-2.37,-0.22,0.68,0.33,0.87,0.02,Buy
964,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
965,0.09,0.19,1.73,-2.57,-2.45,8.61,0.67,6.81,0.07,Buy
966,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
968,0.09,0.19,1.73,-0.04,0.08,27.43,0.33,3.06,0.06,Buy
977,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
983,0.09,0.19,0.56,0.05,3.06,22.28,0.87,3.52,0.03,Buy
987,0.09,0.19,1.21,-0.58,-0.33,0.49,0.83,10.78,0.08,Buy
989,0.09,0.19,2.07,-0.06,-0.66,1.59,0.07,0.01,0.0,Buy
993,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
996,0.09,0.19,1.73,0.02,0.95,4.23,0.87,0.4,0.0,Buy
997,0.09,0.19,2.46,-0.27,-0.27,1.49,0.19,2.66,0.03,Buy
1035,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1040,0.09,0.19,1.73,0.0,-1.66,3.2,1.02,17.7,0.06,Buy
1042,0.09,0.19,1.73,0.53,6.34,22.03,0.31,1.46,0.06,Buy
1052,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1058,0.09,0.19,2.61,0.12,2.74,27.01,1.01,13.25,0.16,Buy
1062,0.09,0.19,2.25,0.5,-6.93,34.23,0.55,3.07,0.09,Buy
1075,0.09,0.19,1.25,0.8,1.94,16.58,0.28,1.41,0.01,Buy
1088,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1089,0.09,0.19,1.73,-1.09,-0.43,3.21,0.22,14.23,0.23,Buy
1090,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1093,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1096,0.09,0.19,1.73,0.0,-1.61,-870.58,0.78,6.28,0.11,Buy
1102,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1107,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1110,0.09,0.19,1.5,0.0,-0.71,0.14,0.05,0.72,0.02,Buy
1121,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1122,0.09,0.19,1.73,-0.1,-0.55,4.49,0.95,4.79,0.07,Buy
1133,0.21,0.51,0.91,-0.09,2.2,1.08,0.77,2.97,0.03,Buy
1138,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
