,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
53,BLKB,-0.009014606741573,0.3189125,0.0,1.128275,234485.0,-0.0023999999,0.19656014,3.03,8.513,2436971.0,0.0499,-0.045,1.02003,0.016929999,1625011200.0,1672444800.0,10.71,3787540480.0,-0.431,2232377.0,0.0652,-3.65
54,BLNK,0.362745848375451,0.287776923076923,0.0,4.198689,1317475.0,0.0,3.4529147,-0.94,5.553,12991636.0,0.3082,-0.882,0.4044,0.13981,1625011200.0,1672444800.0,8.37,1063239680.0,,12264706.0,0.35729998,
55,BLUE,0.4630896666666666,0.7012461538461537,0.0,1.602074,708438.0,0.0,-0.65626764,-9.2,14.575,5708594.0,0.0845,-12.607,0.81158996,0.0149300005,1625011200.0,1672444800.0,3.51,594913664.0,,6253701.0,0.107,0.05
56,BMBL,0.334365,0.39651,0.0,,3096832.0,0.41605,-0.2227279,0.33,12.354,7221303.0,0.060300004,0.114,0.97386,0.0061000003,1625011200.0,1672444800.0,4.26,7935507456.0,,8122061.0,0.10479999,0.44
57,BMRA,0.4301346863468637,0.42865,0.0,-0.679039,82249.0,-0.8986,-0.33910537,0.27,0.75,1101414.0,0.088,-0.542,0.20633,0.16861999,1622419200.0,1685491200.0,10.43,54716964.0,,1118217.0,0.10609999,
58,BMRC,0.3933705882352941,0.3279928571428572,0.3651,0.824235,53752.0,0.31563,0.17139089,2.04,26.838,195678.0,0.0119,2.518,0.4016,0.0347,1625011200.0,1672444800.0,1.92,228323200.0,0.254,550536.0,0.0123000005,1.78
59,BMTC,-0.0014403508771929,0.4237833333333334,0.3214,0.957969,63248.0,0.28816998,0.48500752,3.04,32.438,380437.0,0.0191,3.363,0.81971,0.01401,1625011200.0,1672444800.0,6.59,895358976.0,0.419,321320.0,0.0194,1.73
60,BNFT,-0.0095099173553719,0.300775,0.0,1.706331,294314.0,-0.06929,0.059095144,-0.3,-1.886,1550227.0,0.0465,-0.763,0.88523,0.11933,1625011200.0,1672444800.0,4.61,544376896.0,,2389962.0,0.051,-1.57
61,BOKF,-0.0285786516853932,0.215335,0.2328,1.481441,218469.0,0.31114,0.59951234,6.54,77.202,1156533.0,0.0167,8.895,0.40528,0.56527,1625011200.0,1672444800.0,9.41,416644128.0,1.572,1182722.0,0.0385,1.55
62,BRKL,0.0380820895522388,0.4161307692307692,0.355,0.761462,208181.0,0.34787998,0.5929978,1.21,12.44,1185214.0,0.0152,1.311,0.83773005,0.02629,1625011200.0,1672444800.0,5.18,1202107392.0,0.615,927985.0,0.0211,1.78
